Area,Item,Element,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,"Almonds, in shell",Yield,hg/ha,15736,16364,18000,16364,16364,16364,16364,16364,16364,20000,17143,16667,21407,24561,12250,13281,16667,26234,35000,39154,49955,45000,45960,29910,19996,16521,16859,13788,17161,13083,17759,18748
Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Yield,hg/ha,7692,7072,7143,6854,6761,6667,6000,6250,5917,6189,6250,6250,6061,6029,6000,6250,6222,6071,6000,6203,6000,6414,6757,6757,7167,7200,7075,6970,7866,6902,7409,7379
Afghanistan,Apples,Yield,hg/ha,71319,74636,74516,73913,74468,74766,74452,73982,73433,72883,72415,72135,70620,71266,72228,73571,75000,85000,80087,85105,70000,70000,76519,76005,73000,68824,72762,63487,76527,90832,105626,110245
Afghanistan,Apricots,Yield,hg/ha,70440,75278,74131,72549,73576,72816,73934,74217,74465,74589,74451,73077,72960,71773,70846,68705,62267,72500,74448,73439,80000,81725,100000,99944,99944,96189,20819,72960,58934,73008,75389,74779
Afghanistan,Barley,Yield,hg/ha,10537,10637,8000,10000,9200,8889,10000,12500,12000,12000,5968,10000,14619,8889,9206,14042,15424,15678,14110,18202,20613,16100,18000,18489,15213,14291,13770,13933,6748,14699,14838,14594
Afghanistan,Cantaloupes and other melons,Yield,hg/ha,102564,103241,103577,103912,104248,104584,104920,105255,106819,99719,102273,111111,100000,100446,99206,101410,120000,120000,120000,120000,98703,101145,96330,110000,120698,88143,63322,90631,103490,125008,134623,140282
Afghanistan,Figs,Yield,hg/ha,26502,18103,24727,27273,28585,29364,30348,27778,28333,51251,75000,85000,75000,85000,88771,78709,74019,55514,30000,60000,45000,40000,40126,40370,40000,32761,38755,48884,56122,68912,49686,45706
Afghanistan,Grapes,Yield,hg/ha,70192,70192,69088,68013,66850,64888,64130,63462,63462,63462,63462,70192,70192,73000,69820,69140,67308,65455,63194,62138,64941,80000,95650,98292,95000,102321,106069,105951,112445,124220,107295,107348
Afghanistan,Linseed,Yield,hg/ha,3500,3497,4084,4263,4446,4632,4817,4997,5160,5779,5837,5883,5914,5929,6510,6028,5978,6000,4114,6742,6711,6340,6250,6250,5934,6739,3787,7371,8642,14352,11006,9475
Afghanistan,Maize (corn),Yield,hg/ha,17582,16800,15000,16786,16667,16563,16364,15000,16500,15000,11979,20000,29800,8400,16000,12069,26204,26277,26277,21429,16448,16400,21986,21972,24882,21457,20517,12957,14727,19457,19344,19535
Afghanistan,Millet,Yield,hg/ha,8667,8301,8000,8100,8148,8220,8217,8228,8238,8270,8148,8148,8000,8629,8947,8148,10000,16667,18333,19000,30000,30000,30000,26000,24847,23202,22269,16280,16280,19372,13187,10613
Afghanistan,Olives,Yield,hg/ha,7746,6923,8462,6923,8462,6923,8462,6923,8462,6923,8462,6923,8462,10000,25500,24543,6922,6922,25217,45000,33182,30000,30000,30385,31437,33965,36366,33779,34377,35915,35703,36392
Afghanistan,"Onions and shallots, dry (excluding dehydrated)",Yield,hg/ha,,193626,191111,188595,186080,183564,181049,178533,176018,173502,170987,168471,165956,163440,160668,157640,154611,151582,148554,145525,142497,139468,141909,136889,138337,138357,106223,119632,148791,192294,168470,150370
Afghanistan,Oranges,Yield,hg/ha,75053,86692,85260,83827,82395,80962,79530,78098,76665,75233,73800,72368,70872,72598,77143,76799,62840,71090,65000,40000,20000,60000,60000,60190,66000,49015,54451,58258,60703,63053,72313,65291
Afghanistan,Other berries and fruits of the genus vaccinium n.e.c.,Yield,hg/ha,85280,112749,110971,109194,107417,105640,103863,102086,100308,98531,96754,94977,93200,93351,85857,85000,85000,85929,85455,85000,78328,72735,65789,65789,65299,65684,60217,55353,52268,48498,43421,41138
Afghanistan,"Other citrus fruit, n.e.c.",Yield,hg/ha,71838,44974,46628,48895,51518,54140,56762,59385,62007,64629,67252,69874,72496,74944,79630,80737,80000,80000,80000,100000,100000,100000,100000,100000,100000,103402,100883,97554,93433,89774,84076,82883
Afghanistan,"Other fruits, n.e.c.",Yield,hg/ha,69135,70891,71296,74623,76314,78041,79749,81733,83511,85251,86864,88088,89816,90909,95498,99300,103354,107825,120000,150000,120000,70000,73690,74902,75000,76558,72969,78238,75884,75657,76579,76039
